tahun,persen_asupan_kalori_bawah_1400,prov
2019,9.61,ACEH
2019,6.06,SUMATERA UTARA
2019,7.19,SUMATERA BARAT
2019,10.2,RIAU
2019,9.8,JAMBI
2019,6.97,SUMATERA SELATAN
2019,7.27,BENGKULU
2019,9.99,LAMPUNG
2019,6.22,KEP. BANGKA BELITUNG
2019,8.48,KEP. RIAU
2019,6.61,DKI JAKARTA
2019,7.04,JAWA BARAT
2019,10.05,JAWA TENGAH
2019,5.72,DI YOGYAKARTA
2019,7.23,JAWA TIMUR
2019,4.42,BANTEN
2019,3.39,BALI
2019,1.65,NUSA TENGGARA BARAT
2019,15.73,NUSA TENGGARA TIMUR
2019,15.08,KALIMANTAN BARAT
2019,9.41,KALIMANTAN TENGAH
2019,5.44,KALIMANTAN SELATAN
2019,13.17,KALIMANTAN TIMUR
2019,12.89,KALIMANTAN UTARA
2019,8.96,SULAWESI UTARA
2019,11.8,SULAWESI TENGAH
2019,9.0,SULAWESI SELATAN
2019,8.78,SULAWESI TENGGARA
2019,5.32,GORONTALO
2019,9.69,SULAWESI BARAT
2019,29.06,MALUKU
2019,27.95,MALUKU UTARA
2019,20.65,PAPUA BARAT
2019,25.43,PAPUA
2019,8.47,INDONESIA
2018,9.38,ACEH
2018,6.87,SUMATERA UTARA
2018,6.93,SUMATERA BARAT
2018,10.19,RIAU
2018,8.93,JAMBI
2018,6.81,SUMATERA SELATAN
2018,6.31,BENGKULU
2018,8.89,LAMPUNG
2018,8.23,KEP. BANGKA BELITUNG
2018,11.32,KEP. RIAU
2018,7.05,DKI JAKARTA
2018,7.04,JAWA BARAT
2018,8.51,JAWA TENGAH
2018,2.34,DI YOGYAKARTA
2018,6.83,JAWA TIMUR
2018,4.74,BANTEN
2018,3.14,BALI
2018,3.6,NUSA TENGGARA BARAT
2018,14.84,NUSA TENGGARA TIMUR
2018,13.84,KALIMANTAN BARAT
2018,9.07,KALIMANTAN TENGAH
2018,6.07,KALIMANTAN SELATAN
2018,15.94,KALIMANTAN TIMUR
2018,15.97,KALIMANTAN UTARA
2018,7.56,SULAWESI UTARA
2018,10.44,SULAWESI TENGAH
2018,9.44,SULAWESI SELATAN
2018,6.99,SULAWESI TENGGARA
2018,8.31,GORONTALO
2018,13.38,SULAWESI BARAT
2018,25.86,MALUKU
2018,25.82,MALUKU UTARA
2018,18.68,PAPUA BARAT
2018,27.48,PAPUA
2018,8.23,INDONESIA
2017,10.29,ACEH
2017,7.88,SUMATERA UTARA
2017,6.6,SUMATERA BARAT
2017,9.78,RIAU
2017,8.64,JAMBI
2017,4.51,SUMATERA SELATAN
2017,8.67,BENGKULU
2017,8.41,LAMPUNG
2017,6.6,KEP. BANGKA BELITUNG
2017,8.59,KEP. RIAU
2017,7.76,DKI JAKARTA
2017,6.57,JAWA BARAT
2017,8.92,JAWA TENGAH
2017,2.15,DI YOGYAKARTA
2017,6.67,JAWA TIMUR
2017,5.29,BANTEN
2017,3.94,BALI
2017,5.6,NUSA TENGGARA BARAT
