tahun,persen_penduduk_trampil_tik,prov
2021,60.21,ACEH
2021,67.41,SUMATERA UTARA
2021,68.0,SUMATERA BARAT
2021,70.69,RIAU
2021,64.47,JAMBI
2021,62.59,SUMATERA SELATAN
2021,62.1,BENGKULU
2021,65.76,LAMPUNG
2021,66.33,KEP. BANGKA BELITUNG
2021,89.06,KEP. RIAU
2021,91.79,DKI JAKARTA
2021,76.08,JAWA BARAT
2021,71.15,JAWA TENGAH
2021,84.72,DI YOGYAKARTA
2021,68.07,JAWA TIMUR
2021,75.69,BANTEN
2021,77.09,BALI
2021,58.69,NUSA TENGGARA BARAT
2021,53.16,NUSA TENGGARA TIMUR
2021,62.04,KALIMANTAN BARAT
2021,66.43,KALIMANTAN TENGAH
2021,70.39,KALIMANTAN SELATAN
2021,81.17,KALIMANTAN TIMUR
2021,76.94,KALIMANTAN UTARA
2021,69.77,SULAWESI UTARA
2021,58.19,SULAWESI TENGAH
2021,67.29,SULAWESI SELATAN
2021,65.75,SULAWESI TENGGARA
2021,61.94,GORONTALO
2021,55.72,SULAWESI BARAT
2021,59.26,MALUKU
2021,51.53,MALUKU UTARA
2021,62.31,PAPUA BARAT
2021,30.58,PAPUA
2021,70.17,INDONESIA
2020,54.25,ACEH
2020,58.6,SUMATERA UTARA
2020,58.67,SUMATERA BARAT
2020,62.67,RIAU
2020,56.87,JAMBI
2020,54.52,SUMATERA SELATAN
2020,53.42,BENGKULU
2020,55.57,LAMPUNG
2020,60.37,KEP. BANGKA BELITUNG
2020,81.73,KEP. RIAU
2020,88.08,DKI JAKARTA
2020,71.09,JAWA BARAT
2020,65.78,JAWA TENGAH
2020,81.36,DI YOGYAKARTA
2020,63.91,JAWA TIMUR
2020,69.35,BANTEN
2020,72.56,BALI
2020,52.72,NUSA TENGGARA BARAT
2020,42.89,NUSA TENGGARA TIMUR
2020,54.1,KALIMANTAN BARAT
2020,59.66,KALIMANTAN TENGAH
2020,62.88,KALIMANTAN SELATAN
2020,75.33,KALIMANTAN TIMUR
2020,71.99,KALIMANTAN UTARA
